id,some_data,some_state,count
1,a,new,1
2,b,new,1
3,c,new,1
4,d,new,1
5,e,new,2
6,f,new,2
7,g,new,2
8,h,new,2
9,i,new,3
10,j,new,3
11,k,new,3
12,l,new,3
13,m,new,4
14,n,pending,4
15,o,pending,4
16,p,pending,4
17,q,pending,2
18,r,pending,2
19,s,pending,2
20,t,pending,2
21,u,pending,1
22,v,pending,1
23,w,pending,1
24,x,pending,1
25,y,pending,3
26,z,pending,3
27,a,pending,3
28,b,pending,3
29,c,pending,1
30,d,complete,2
31,e,complete,1
32,f,complete,1
33,g,complete,1
34,h,complete,2
35,i,complete,2
36,j,complete,2
37,k,complete,2
38,l,complete,5
39,m,complete,1
40,n,complete,1
